"Date","Type","Calls"
2019-05-21,"Baseline",259.721095038219
2019-05-22,"SevenDayAverage",270.926739521505
2019-05-22,"Baseline",244.965205354603
2019-05-23,"SevenDayAverage",269.894218537439
2019-05-23,"Baseline",230.209315670986
2019-05-24,"SevenDayAverage",277.738481862634
2019-05-24,"Baseline",258.807910136613
2019-05-25,"SevenDayAverage",272.095665919163
2019-05-25,"Baseline",258.2620755836
2019-05-26,"SevenDayAverage",266.452849975691
2019-05-26,"Baseline",257.716241030588
2019-05-27,"SevenDayAverage",260.81003403222
2019-05-27,"Baseline",257.170406477576
2019-05-28,"SevenDayAverage",256.475605490973
2019-05-28,"Baseline",256.817182580187
2019-05-29,"SevenDayAverage",252.141176949725
2019-05-29,"Baseline",256.463958682798
2019-05-30,"SevenDayAverage",247.806748408478
2019-05-30,"Baseline",256.110734785409
2019-05-31,"SevenDayAverage",265.155722672788
2019-05-31,"Baseline",228.728535713282
2019-06-01,"SevenDayAverage",254.989541646834
2019-06-01,"Baseline",256.070158808541
2019-06-02,"SevenDayAverage",263.223027263957
2019-06-02,"Baseline",256.061141924793
2019-06-03,"SevenDayAverage",265.655331655055
2019-06-03,"Baseline",255.171851765119
2019-06-04,"SevenDayAverage",268.087636046154
2019-06-04,"Baseline",254.282561605445
2019-06-05,"SevenDayAverage",263.067807460982
2019-06-05,"Baseline",240.839197678397
2019-06-06,"SevenDayAverage",258.047978875811
2019-06-06,"Baseline",227.395833751349
2019-06-07,"SevenDayAverage",261.234578975368
2019-06-07,"Baseline",253.372983457338
2019-06-08,"SevenDayAverage",259.891650333577
2019-06-08,"Baseline",252.849910274065
2019-06-09,"SevenDayAverage",258.548721691786
2019-06-09,"Baseline",252.326837090792
2019-06-10,"SevenDayAverage",257.205793049995
2019-06-10,"Baseline",251.80376390752
2019-06-11,"SevenDayAverage",255.862864408203
2019-06-11,"Baseline",251.280690724247
2019-06-12,"SevenDayAverage",254.519935766412
2019-06-12,"Baseline",250.757617540975
2019-06-13,"SevenDayAverage",253.177007124621
2019-06-13,"Baseline",250.234544357702
2019-06-14,"SevenDayAverage",253.743196979609
2019-06-14,"Baseline",250.214256369269
2019-06-15,"SevenDayAverage",254.309386834596
2019-06-15,"Baseline",250.193968380835
2019-06-16,"SevenDayAverage",254.6979028975
2019-06-16,"Baseline",239.461252047059
2019-06-17,"SevenDayAverage",255.086418960404
2019-06-17,"Baseline",228.728535713282
2019-06-18,"SevenDayAverage",255.087545528673
2019-06-18,"Baseline",234.074605891737
2019-06-19,"SevenDayAverage",255.088672096941
2019-06-19,"Baseline",239.420676070192
2019-06-20,"SevenDayAverage",255.08979866521
2019-06-20,"Baseline",244.766746248646
2019-06-21,"SevenDayAverage",255.090925233478
2019-06-21,"Baseline",250.112816427101
2019-06-22,"SevenDayAverage",257.309842033496
2019-06-22,"Baseline",240.97549502578
2019-06-23,"SevenDayAverage",259.528758833515
2019-06-23,"Baseline",231.83817362446
2019-06-24,"SevenDayAverage",260.278187373737
2019-06-24,"Baseline",236.933617580351
2019-06-25,"SevenDayAverage",261.027615913959
2019-06-25,"Baseline",242.029061536243
2019-06-26,"SevenDayAverage",261.777044454181
2019-06-26,"Baseline",247.124505492135
2019-06-27,"SevenDayAverage",262.526472994403
2019-06-27,"Baseline",252.219949448026
2019-06-28,"SevenDayAverage",263.699045545405
2019-06-28,"Baseline",247.202960122748
2019-06-29,"SevenDayAverage",264.871618096407
2019-06-29,"Baseline",242.18597079747
2019-06-30,"SevenDayAverage",266.04419064741
2019-06-30,"Baseline",237.168981472192
2019-07-01,"SevenDayAverage",264.249264285913
2019-07-01,"Baseline",245.527850940544
2019-07-02,"SevenDayAverage",262.454337924416
2019-07-02,"Baseline",253.886720408896
2019-07-03,"SevenDayAverage",260.607492281024
2019-07-03,"Baseline",254.164064724853
2019-07-04,"SevenDayAverage",258.760646637632
2019-07-04,"Baseline",254.441409040811
2019-07-05,"SevenDayAverage",256.91380099424
2019-07-05,"Baseline",254.718753356768
2019-07-06,"SevenDayAverage",254.131904506151
2019-07-06,"Baseline",254.94937268208
2019-07-07,"SevenDayAverage",251.350008018062
2019-07-07,"Baseline",255.179992007392
2019-07-08,"SevenDayAverage",248.568111529974
2019-07-08,"Baseline",255.410611332704
2019-07-09,"SevenDayAverage",247.972245795608
2019-07-09,"Baseline",255.736784578848
2019-07-10,"SevenDayAverage",247.376380061243
2019-07-10,"Baseline",256.062957824992
2019-07-11,"SevenDayAverage",246.780514326877
2019-07-11,"Baseline",256.389131071137
2019-07-12,"SevenDayAverage",250.530271837464
2019-07-12,"Baseline",253.138912626989
2019-07-13,"SevenDayAverage",254.280029348051
2019-07-13,"Baseline",249.888694182842
2019-07-14,"SevenDayAverage",258.029786858637
2019-07-14,"Baseline",246.638475738694
2019-07-15,"SevenDayAverage",261.779544369224
2019-07-15,"Baseline",243.388257294547
2019-07-16,"SevenDayAverage",257.193887945671
2019-07-16,"Baseline",257.181489730517
2019-07-17,"SevenDayAverage",268.04324359031
2019-07-17,"Baseline",242.944023307236
2019-07-18,"SevenDayAverage",265.508289157569
2019-07-18,"Baseline",249.605713223885
2019-07-19,"SevenDayAverage",262.973334724828
2019-07-19,"Baseline",256.267403140535
2019-07-20,"SevenDayAverage",276.532713956252
2019-07-20,"Baseline",249.379087788356
2019-07-21,"SevenDayAverage",275.88314336422
2019-07-21,"Baseline",251.49449493309
2019-07-22,"SevenDayAverage",275.233572772188
2019-07-22,"Baseline",253.609902077824
2019-07-23,"SevenDayAverage",284.311871525443
2019-07-23,"Baseline",247.162320126565
2019-07-24,"SevenDayAverage",283.24746078869
2019-07-24,"Baseline",246.602877209524
2019-07-25,"SevenDayAverage",282.183050051938
2019-07-25,"Baseline",246.043434292482
2019-07-26,"SevenDayAverage",276.716643663333
2019-07-26,"Baseline",245.449345433759
2019-07-27,"SevenDayAverage",271.250237274728
2019-07-27,"Baseline",244.855256575035
2019-07-28,"SevenDayAverage",265.783830886123
2019-07-28,"Baseline",244.261167716312
2019-07-29,"SevenDayAverage",265.173620787915
2019-07-29,"Baseline",240.048723613286
2019-07-30,"SevenDayAverage",264.563410689706
2019-07-30,"Baseline",235.836279510259
2019-07-31,"SevenDayAverage",263.48318013114
2019-07-31,"Baseline",239.990317671791
2019-08-01,"SevenDayAverage",262.402949572574
2019-08-01,"Baseline",244.144355833322
2019-08-02,"SevenDayAverage",261.322719014007
2019-08-02,"Baseline",248.298393994853
2019-08-03,"SevenDayAverage",260.423059438023
2019-08-03,"Baseline",248.639683044726
2019-08-04,"SevenDayAverage",254.960924815053
2019-08-04,"Baseline",244.1510388854
2019-08-05,"SevenDayAverage",249.498790192083
2019-08-05,"Baseline",239.662394726075
2019-08-06,"SevenDayAverage",254.5635878156
2019-08-06,"Baseline",246.852085841629
2019-08-07,"SevenDayAverage",252.751911447217
2019-08-07,"Baseline",239.5672467267
2019-08-08,"SevenDayAverage",250.940235078835
2019-08-08,"Baseline",232.282407611771
2019-08-09,"SevenDayAverage",250.233569257021
2019-08-09,"Baseline",234.423303271793
2019-08-10,"SevenDayAverage",249.526903435207
2019-08-10,"Baseline",236.564198931816
2019-08-11,"SevenDayAverage",248.820237613393
2019-08-11,"Baseline",238.705094591838
2019-08-12,"SevenDayAverage",248.113571791579
2019-08-12,"Baseline",240.84599025186
2019-08-13,"SevenDayAverage",247.406905969766
2019-08-13,"Baseline",242.986885911883
2019-08-14,"SevenDayAverage",245.084493892174
2019-08-14,"Baseline",241.068207848102
2019-08-15,"SevenDayAverage",242.762081814581
2019-08-15,"Baseline",239.149529784322
2019-08-16,"SevenDayAverage",240.439669736989
2019-08-16,"Baseline",237.230851720541
2019-08-17,"SevenDayAverage",235.66960021687
2019-08-17,"Baseline",243.200247923576
2019-08-18,"SevenDayAverage",243.190298785903
2019-08-18,"Baseline",240.390105521252
2019-08-19,"SevenDayAverage",250.710997354936
2019-08-19,"Baseline",237.579963118928
2019-08-20,"SevenDayAverage",246.425192751672
2019-08-20,"Baseline",242.722916640152
2019-08-21,"SevenDayAverage",253.906642086427
2019-08-21,"Baseline",242.750361780061
2019-08-22,"SevenDayAverage",261.388091421182
2019-08-22,"Baseline",242.77780691997
2019-08-23,"SevenDayAverage",262.991462418197
2019-08-23,"Baseline",243.119095969842
2019-08-24,"SevenDayAverage",267.620969818726
2019-08-24,"Baseline",241.064645747634
2019-08-25,"SevenDayAverage",272.250477219256
2019-08-25,"Baseline",239.010195525426
2019-08-26,"SevenDayAverage",268.703099946022
2019-08-26,"Baseline",236.534769543221
2019-08-27,"SevenDayAverage",265.155722672788
2019-08-27,"Baseline",234.059343561015
2019-08-28,"SevenDayAverage",271.722717588574
2019-08-28,"Baseline",245.230737432642
2019-08-29,"SevenDayAverage",267.479322002836
2019-08-29,"Baseline",245.21721210702
2019-08-30,"SevenDayAverage",263.235926417097
2019-08-30,"Baseline",245.203686781397
2019-08-31,"SevenDayAverage",258.992530831359
2019-08-31,"Baseline",245.190161455775
2019-09-01,"SevenDayAverage",257.134648897962
2019-09-01,"Baseline",245.82669709288
2019-09-02,"SevenDayAverage",255.276766964565
2019-09-02,"Baseline",246.463232729985
2019-09-03,"SevenDayAverage",254.97319854504
2019-09-03,"Baseline",246.892098263262
2019-09-04,"SevenDayAverage",252.447766651479
2019-09-04,"Baseline",246.65737750819
2019-09-05,"SevenDayAverage",249.922334757918
2019-09-05,"Baseline",246.422656753118
2019-09-06,"SevenDayAverage",249.647657936736
2019-09-06,"Baseline",246.851522286395
2019-09-07,"SevenDayAverage",251.293351931844
2019-09-07,"Baseline",247.315722732861
2019-09-08,"SevenDayAverage",252.939045926952
2019-09-08,"Baseline",247.779923179327
2019-09-09,"SevenDayAverage",250.299353209643
2019-09-09,"Baseline",248.1212122292
2019-09-10,"SevenDayAverage",257.45566689273
2019-09-10,"Baseline",238.057449446814
2019-09-11,"SevenDayAverage",251.146038593606
2019-09-11,"Baseline",248.526408442638
2019-09-12,"SevenDayAverage",255.929710696642
2019-09-12,"Baseline",243.958279925693
2019-09-13,"SevenDayAverage",260.713382799677
2019-09-13,"Baseline",239.390151408747
2019-09-14,"SevenDayAverage",256.638598188172
2019-09-14,"Baseline",248.922587772328
2019-09-15,"SevenDayAverage",257.690893568496
2019-09-15,"Baseline",249.345817753263
2019-09-16,"SevenDayAverage",258.743188948819
2019-09-16,"Baseline",249.769047734197
2019-09-17,"SevenDayAverage",259.795484329143
2019-09-17,"Baseline",250.192277715132
2019-09-18,"SevenDayAverage",268.709594571276
2019-09-18,"Baseline",242.944023307236
2019-09-19,"SevenDayAverage",261.51748370297
2019-09-19,"Baseline",251.029720793254
2019-09-20,"SevenDayAverage",261.352737722819
2019-09-20,"Baseline",251.020703909505
2019-09-21,"SevenDayAverage",262.941212076474
2019-09-21,"Baseline",251.36888711841
2019-09-22,"SevenDayAverage",264.52968643013
2019-09-22,"Baseline",251.717070327315
2019-09-23,"SevenDayAverage",264.51390688357
2019-09-23,"Baseline",251.853638545753
2019-09-24,"SevenDayAverage",263.378786723544
2019-09-24,"Baseline",244.72095925648
2019-09-25,"SevenDayAverage",261.721866401265
2019-09-25,"Baseline",252.694688377373
2019-09-26,"SevenDayAverage",260.713382799677
2019-09-26,"Baseline",246.497895205724
2019-09-27,"SevenDayAverage",261.488506816409
2019-09-27,"Baseline",250.449965260417
2019-09-28,"SevenDayAverage",262.26363083314
2019-09-28,"Baseline",254.40203531511
2019-09-29,"SevenDayAverage",272.855778452846
2019-09-29,"Baseline",248.719065142279
2019-09-30,"SevenDayAverage",275.842018034215
2019-09-30,"Baseline",249.16329912959
2019-10-01,"SevenDayAverage",278.828257615583
2019-10-01,"Baseline",249.607533116901
2019-10-02,"SevenDayAverage",281.814497196952
2019-10-02,"Baseline",250.051767104212
2019-10-03,"SevenDayAverage",268.659081053701
2019-10-03,"Baseline",256.072413029479
2019-10-04,"SevenDayAverage",267.851280980902
2019-10-04,"Baseline",256.06339614573
2019-10-05,"SevenDayAverage",271.287671732894
2019-10-05,"Baseline",256.484371905728
2019-10-06,"SevenDayAverage",274.724062484887
2019-10-06,"Baseline",256.905347665726
2019-10-07,"SevenDayAverage",277.85968380835
2019-10-07,"Baseline",256.896330781977
2019-10-08,"SevenDayAverage",279.156875246587
2019-10-08,"Baseline",257.316855697788
2019-10-09,"SevenDayAverage",280.454066684824
2019-10-09,"Baseline",257.737380613598
2019-10-10,"SevenDayAverage",285.886642080636
2019-10-10,"Baseline",254.049872990012
2019-10-11,"SevenDayAverage",278.154986751107
2019-10-11,"Baseline",259.449235993209
2019-10-12,"SevenDayAverage",283.460633859641
2019-10-12,"Baseline",259.440219109461
2019-10-13,"SevenDayAverage",277.372157323841
2019-10-13,"Baseline",255.826808939256
2019-10-14,"SevenDayAverage",282.390104336626
2019-10-14,"Baseline",260.13658552727
2019-10-15,"SevenDayAverage",281.24191690233
2019-10-15,"Baseline",260.273153745708
2019-10-16,"SevenDayAverage",280.354880963593
2019-10-16,"Baseline",261.130884812263
2019-10-17,"SevenDayAverage",279.467845024856
2019-10-17,"Baseline",261.988615878818
2019-10-18,"SevenDayAverage",277.217655559628
2019-10-18,"Baseline",260.680139916407
2019-10-19,"SevenDayAverage",274.609591353884
2019-10-19,"Baseline",261.838647121235
2019-10-20,"SevenDayAverage",272.001527148141
2019-10-20,"Baseline",262.997154326063
2019-10-21,"SevenDayAverage",275.157248608294
2019-10-21,"Baseline",263.557465986871
2019-10-22,"SevenDayAverage",278.312970068446
2019-10-22,"Baseline",264.117777647679
2019-10-23,"SevenDayAverage",281.468691528599
2019-10-23,"Baseline",264.678089308487
2019-10-24,"SevenDayAverage",282.925082165229
2019-10-24,"Baseline",261.157616786988
2019-10-25,"SevenDayAverage",283.071271317804
2019-10-25,"Baseline",262.983242438296
2019-10-26,"SevenDayAverage",283.21746047038
2019-10-26,"Baseline",264.808868089603
2019-10-27,"SevenDayAverage",280.75420715717
2019-10-27,"Baseline",266.422610304719
2019-10-28,"SevenDayAverage",278.290953843961
2019-10-28,"Baseline",268.036352519835
2019-10-29,"SevenDayAverage",286.986206876958
2019-10-29,"Baseline",266.544565127592
2019-10-30,"SevenDayAverage",283.913548937292
2019-10-30,"Baseline",268.100456761926
2019-10-31,"SevenDayAverage",280.840890997625
2019-10-31,"Baseline",269.65634839626
2019-11-01,"SevenDayAverage",289.529153393214
2019-11-01,"Baseline",268.067878073616
2019-11-02,"SevenDayAverage",291.670134053752
2019-11-02,"Baseline",269.496958206341
2019-11-03,"SevenDayAverage",293.81111471429
2019-11-03,"Baseline",270.926038339065
2019-11-04,"SevenDayAverage",286.775110055258
2019-11-04,"Baseline",267.821126596654
2019-11-05,"SevenDayAverage",292.473798143373
2019-11-05,"Baseline",272.28668609668
2019-11-06,"SevenDayAverage",290.335129285455
2019-11-06,"Baseline",270.89090185257
2019-11-07,"SevenDayAverage",287.58485540312
2019-11-07,"Baseline",272.835547219395
2019-11-08,"SevenDayAverage",284.834581520785
2019-11-08,"Baseline",274.78019258622
2019-11-09,"SevenDayAverage",284.284238525898
2019-11-09,"Baseline",275.301982115903
2019-11-10,"SevenDayAverage",283.733895531012
2019-11-10,"Baseline",275.823771645586
2019-11-11,"SevenDayAverage",283.183552536126
2019-11-11,"Baseline",276.34556117527
2019-11-12,"SevenDayAverage",290.032825962206
2019-11-12,"Baseline",272.707700457075
2019-11-13,"SevenDayAverage",288.265511267274
2019-11-13,"Baseline",275.452645991946
2019-11-14,"SevenDayAverage",286.498196572342
2019-11-14,"Baseline",278.197591526817
